,,,,,,,,,,,,
"U.S. BILLIONAIRES WEALTH GROWTH, OCTOBER 13, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
First Name,"Net Worth Feb. 8, 2019 
 ($ Millions)","Net Worth Mar. 18, 2020                  ($ Millions)","October 13, 2020 Real Time Worth                            ($ Millions)","Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020                             ($ Millions)","% Wealth Growth from Mar. 18, 2020 to Oct. 13, 2020           ","Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020                        ($ Millions)","% Wealth Growth from Feb. 8, 2019 to Oct. 13, 2020",Source,Industry,State,Gender,Age
TOTAL,"$3,111,000","$2,947,500","$3,878,233","$930,733",31.6%,"$767,233",24.7%,,,,,
Jeff Bezos,"$131,000","$113,000","$203,136","$90,136",79.8%,"$72,136",55.1%,Amazon,Technology,Washington,M,56
Bill Gates,"$96,500","$98,000","$117,976","$19,976",20.4%,"$21,476",22.3%,Microsoft,Technology,Washington,M,64
Mark Zuckerberg,"$62,300","$54,700","$101,230","$46,530",85.1%,"$38,930",62.5%,Facebook,Technology,California,M,36
Elon Musk,"$22,300","$24,600","$92,830","$68,230",277.4%,"$70,530",316.3%,"Tesla, SpaceX",Automotive,California,M,49
Warren Buffett,"$82,500","$67,500","$81,061","$13,561",20.1%,"-$1,439",-1.7%,Berkshire Hathaway,Finance & Investments,Nebraska,M,90
Larry Ellison,"$62,500","$59,000","$80,298","$21,298",36.1%,"$17,798",28.5%,Oracle,Technology,California,M,76
Steve Ballmer,"$41,200","$52,700","$75,039","$22,339",42.4%,"$33,839",82.1%,Microsoft,Technology,Washington,M,64
Larry Page,"$50,800","$50,900","$70,026","$19,126",37.6%,"$19,226",37.8%,Google,Technology,California,M,47
Sergey Brin,"$49,800","$49,100","$68,129","$19,029",38.8%,"$18,329",36.8%,Google,Technology,California,M,47
Alice Walton,"$44,400","$54,400","$67,887","$13,487",24.8%,"$23,487",52.9%,Walmart,Fashion & Retail,Texas,F,70
Jim Walton,"$44,600","$54,600","$67,665","$13,065",23.9%,"$23,065",51.7%,Walmart,Fashion & Retail,Arkansas,M,72
Rob Walton,"$44,300","$54,100","$67,315","$13,215",24.4%,"$23,015",52.0%,Walmart,Fashion & Retail,Arkansas,M,75
MacKenzie Scott,N/A,"$36,000","$65,723","$29,723",82.6%,N/A,N/A,Amazon,Technology,Washington,F,50
Michael Bloomberg,"$55,500","$48,000","$54,890","$6,890",14.4%,-$610,-1.1%,Bloomberg LP,Media & Entertainment,New York,M,78
Daniel Gilbert,"$6,700","$6,500","$49,164","$42,664",656.4%,"$42,464",633.8%,Quicken Loans,Finance & Investments,Michigan,M,58
Phil Knight,"$33,400","$29,500","$49,123","$19,623",66.5%,"$15,723",47.1%,Nike,Fashion & Retail,Oregon,M,82
Charles Koch,"$50,500","$38,200","$44,921","$6,721",17.6%,"-$5,579",-11.0%,Koch Industries,Diversified,Kansas,M,84
Julia/David Koch,"$50,500","$38,200","$44,921","$6,721",17.6%,"-$5,579",-11.0%,Koch Industries,Diversified,New York,F,58
Michael Dell,"$34,300","$22,900","$39,100","$16,200",70.7%,"$4,800",14.0%,Dell computers,Technology,Texas,M,55
Sheldon Adelson,"$35,100","$26,800","$30,304","$3,504",13.1%,"-$4,796",-13.7%,casinos,Gambling & Casinos,Nevada,M,87
Jacqueline Mars,"$23,900","$24,700","$28,896","$4,196",17.0%,"$4,996",20.9%,"candy, pet food",Food & Beverage,Virginia,F,80
John Mars,"$23,900","$24,700","$28,896","$4,196",17.0%,"$4,996",20.9%,"candy, pet food",Food & Beverage,Wyoming,M,84
Len Blavatnik,"$17,700","$17,000","$26,070","$9,070",53.4%,"$8,370",47.3%,diversified,Diversified,,M,63
Jim Simons,"$21,500","$21,600","$23,525","$1,925",8.9%,"$2,025",9.4%,hedge funds,Finance & Investments,New York,M,82
Eric Yuan,N/A,"$5,500","$22,264","$16,764",304.8%,N/A,N/A,video conferencing,Technology,California,M,50
Laurene Powell Jobs,"$18,600","$16,400","$20,512","$4,112",25.1%,"$1,912",10.3%,"Apple, Disney",Technology,California,F,56
