STATE,POSTCODE,FIPS,STEMERG,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,FM_END,FM_STP,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,BCLBAR2,CLBAR2,CLMV2,CLGYM2,CLRST2,QRSOMEST,QR_ALLST,QR_END,EVICINTN,EVICINRESUME,EVICENF,EVICSTPTWO,EVICCOURTCL,EVICCOURTRE,EVICEND,RNTGP,UTILSO,UTILGAS_SO2,UTILGAS_END,UTILGAS_SO2,UTILELEC_SO,UTILELEC_END,UTILELEC_SO2,UTILWAT_SO,UTILWAT_END,UTILWAT_SO2,UTILTEL_SO,UTILTEL_END,UTILTEL_SO2,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TESTMAR,TESTAPR,TESTMAY,TESTJUN,TESTAUG,CASEMAR,CASEAPR,CASEMAY,CASEJUN,CASEAUG,HOSPMAR,HOSPAPR,HOSPMAY,HOSPJUN,HOSPAUG,DEATHMAR,DEATHAPR,DEATHMAY,DEATHJUN,DEATHAUG,TST_AIANJUL,TST_AIANAUG,TST2_AIANJUL,TST2_AIANAUG,HOSPAIANJUL,HOSPAIANAUG,DTH_AIANJUL,DTH_AIANAUG,AIANRESN,VISITPER,VISITATT,VISITRES,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,WTPRD,WV_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,
State,State Abbreviation,FIPS Code,State of emergency,Date closed K-12 schools,Closed day cares,Reopen day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,Stay at home order' issued but did not specifically restrict movement of the general public,End/relax stay at home/shelter in place,Closed other non-essential businesses,Began to reopen businesses,Religious Gatherings Exempt Without Clear Social Distance Mandate*,Mandate face mask use by all individuals in public spaces,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Mandate face mask use by employees in public-facing businesses,State ended statewide mask use by individuals in public spaces,Attempt by state government to prevent local governments from implementing face mask orders,Alcohol/Liquor Stores Open,Allow restaurants to sell takeout alcohol,Allow restaurants to deliver alcohol,Keep Firearms Sellers Open,Closed restaurants except take out,Reopen restaurants,Initially reopen restaurants for outdoor dining only,Closed gyms,Reopened gyms,Closed movie theaters,Reopened movie theaters,Closed Bars,Reopen bars,Reopened hair salons/barber shops,Reopen Religious Gatherings,Reopen other non-essential retail,Begin to Re-Close Bars,Re-Close Bars (statewide),Re-Close Movie Theaters (statewide),Re-Close Gyms (statewide),Re-Close Indoor Dining (Statewide),Mandate quarantine for those entering the state from specific states,Mandate quarantine for all individuals entering the state from another state,Date all mandated quarentines ended,Stop Initiation of Evictions overall or due to COVID related issues,Resume initiation of some evictions,Stop enforcement of evictions overall or due to COVID related issues,Second stop of evictions overall or due to COVID related issues,Court closure led to Suspension of eviction hearings,Courts reopened to allow eviction hearings unless prohibited by other orders,End eviction moratorium,Renter grace period or use of security deposit to pay rent,Order freezing utility shut offs,Order freezing gas utility shut offs,Order lifting a freeze on gas utility shut offs,Order re-implementing freezes on gas utility shut offs,Order freezing electric utility shut offs,Order lifting a freeze on electric utility shut offs,Order re-implementing freezes on electric utility shut offs,Order freezing water utility shut offs,Order lifting a freeze on water utility shut offs,Order re-implementing freezes on water utility shut offs,Order freezing telecom utility shut offs,Order freezing telecom utility shut offs,Order re-implementing freezes on telecom utility shut offs,Froze mortgage payments,SNAP Waiver-Emergency Allotments to Current SNAP Households,SNAP Waiver-Pandemic EBT,SNAP Waiver-Temporary Suspension of Claims Collection,2020 Q1 SNAP ABAWD Time Limit Waiver,Modify Medicaid requirements with 1135 waivers (date of CMS approval),Reopened ACA enrollment using a special enrollment period,State previously allowed audio-only telehealth,Allow audio-only telehealth,Allow/expand Medicaid telehealth coverage,State had CHIP premium non-payment lock-out period as of January 2019,Supend CHIP premium non-payment lock-outs,Report testing by race/ethnicity; March,Report testing by race/ethnicity; April,Report testing by race/ethnicity; May,Report testing by race/ethnicity; June,Report testing by race/ethnicity; August,Report cases by race/ethnicity; March,Report cases by race/ethnicity; April,Report cases by race/ethnicity; May,Report cases by race/ethnicity; June,Report cases by race/ethnicity; August,Report hospitalizations by race; March,Report hospitalizations by race; April,Report hospitalizations by race; May,Report hospitalizations by race; June,Report hospitalizations by race; August,Report deaths by race/ethnicity; March,Report deaths by race/ethnicity; April,Report deaths by race/ethnicity; May,Report deaths by race/ethnicity; June,Report deaths by race/ethnicity; August,"Report COVID testing for American Indian/Alaska Native individuals, July","Report COVID testing for American Indian/Alaska Native individuals, August","Report positive COVID tests for Indian/Alaska Native individuals, July","Report positive COVID tests for Indian/Alaska Native individuals, August","Report COVID hospitalizations for Indian/Alaska Native individuals, July","Report COVID hospitalizations for Indian/Alaska Native individuals, August","Report COVID deaths for Indian/Alaska Native individuals, July","Report COVID deaths for Indian/Alaska Native individuals, August",State has at least one Indian/Alaska Native reservation,Stopped personal visitation in state prisons,Stopped in-person attorney visits in state prisons,Began to resume visitation in state prisons,Does not charge copays for incarcerated individuals,Waived COVID/respiratory illness-related copays during pandemic for incarcerated individuals,Waived all copays during pandemic for incarcerated individuals,Did not waive copays for incarcerated individuals,Suspended elective medical/dental procedures,Resumed elective medical procedures,No order to suspend elective medical procedures but did release guidance or orders to resume.,No state unemployment waiting period prior to pandemic; or date waiting period waived not found,Waived one week waiting period for unemployment insurance,Waive work search requirement for unemployment insurance,Reinstated work search requirement for UI,Expand eligibility of unemployment insurance to anyonewho is quarantined and/or taking care of someone who is quarantined,Expand eligibility to high-risk individuals in preventative quarantine,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,Extend the amount of time an individual can be on unemployment insurance,Weekly unemployment insurance maximum amount (dollars),"Weekly unemployment insurance maximum amount with extra stimulus (through July 31, 2020) (dollars)",Unemployment insurance maximum duration (weeks),Unemployment insurance maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),Minimum total earnings required in the base period to qualify for UI.,Number of calendar quarters with earnings in the base period needed to qualify for UI.,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI.,Require earnings in the last two calendar quarters of the base period in order to qualify for UI.,Earnings in base period required to receive a $300 weekly benefit amount for UI.,Taxable Wage Amount,Minimum Tax Rate (%),Maximum Tax Rate (%),Average Benefit Amount (August),Made Effort to Limit Abortion Access,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,Patients can receive 14-28 take-home doses of opioid medication,Home delivery of take-home medication by opioid treatment programs,Use of telemedicine for schedule II-V prescriptions,Exceptions to emergency oral prescriptions,Waive requirement to obtain separate DEA registration to dispense outside home state,Paid sick leave,Medicaid Expansion,Population density per square miles,Population 2018 ,Square Miles,Number Homeless (2019),Percent Unemployed (2018),Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,"Mental health professionals per 100,000 population in 2019","COVID-19 is not an acceptable reason to request application for mail-in ballot unless sick or exposed (as of September 1, 2020)","Witness or notary signature required for mail-in ballot (as of September 1, 2020)",Permanent mail-in ballot system,"Automatic mail-in ballot system in response to COVID-19 (0,1,2 2 being conditional- see notes for details)","Automatic applications sent for mail-in ballots in response to COVID-19 (0,1,2 2 being conditional- see notes for details)",Last date of receipt of mail-in ballot request for the general election (by mail or online),
category,n/a,n/a,state_of_emergency,physical_distance_closure,physical_distance_closure,Reopening,physical_distance_closure,shelter,shelter,shelter,business_closure,business_closure,shelter,masks,masks,masks,masks,masks,masks,masks,alcohol_firearms,alcohol_firearms,alcohol_firearms,alcohol_firearms,physical_distance_closures,reopening,reopening,physical_distance_closures,reopening,physical_distance_closures,reopening,physical_distance_closures,reopening,reopening,reopening,reopening,second_closures,second_closures,second_closures,second_closures,second_closures,quarantines,quarantines,quarentines,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,housing,food_security,food_security,food_security,food_security,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,healthcare_delivery,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,racial_disparities,incarceration,incarceration,incarceration,incarceration,incarceration,incarceration,incarceration,healthcare_delivery,healthcare_delivery,healthcare_delivery,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,unemployment,healthcare_delivery,SUD_policies,SUD_policies,SUD_policies,SUD_policies,SUD_policies,SUD_policies,pre_covid_policy,pre_covid_policy,population_density,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,state_characteristics,vote_by_mail,vote_by_mail,vote_by_mail,vote_by_mail,vote_by_mail,vote_by_mail,
type,note,note,start,start,start,end,start,start,start,end,start,end,attribute,start,attribute,attribute,attribute,start,end,start,attribute,start,start,attribute,start,end,attribute,start,end,start,end,start,end,end,end,end,start,start,start,start,start,start,start,end,start,end,start,start,start,end,end,start,start,start,end,start,start,end,start,start,end,start,start,end,start,start,start,start,start,attribute,start,start,attribute,start,start,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,attribute,start,start,end,attribute,attribute,attribute,attribute,start,end ,end,attribute,start,attribute,attribute,attribute,attribute,attribute,attribute,quantity,quantity,quantity,quantity,quantity,quantity,quantity,attribute,quantity,quantity,quantity,quantity,quantity,note,start,start,start,start,start,start,attribute,attribute,quantity,quantity,quantity,quantity,quantity,quantity,quantity,quantity,quantity,attribute,attribute,attribute,attribute,attribute,date,
unit,text,attribute,date,date,date,date,date,date,date,date,date,date,flag,date,flag,flag,flag,date,date,date,flag,date,date,flag,date,date,flag,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,flag,date,date,flag,date,date,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,date,date,date,flag,flag,flag,flag,date,date,date,flag,date,flag,flag,flag,flag,flag,flag,dollars,dollars,weeks,weeks,dollars,Calendar Quarters,dollars,flag,dollars,dollars,percent,percent,dollars,text,date,date,date,date,date,date,flag,flag,people/sq mi,people,sq mi,people,percent,percent,percent,people/year,"per 100,000",flag,flag,flag,flag,flag,start,
Alabama,AL,1,3/13/20,3/20/20,3/20/20,5/23/20,3/19/20,4/4/20,0,4/30/20,3/28/20,4/30/20,0,7/16/20,0,0,1,5/11/20,0,0,1,3/24/20,3/24/20,1,3/19/20,5/11/20,0,3/28/20,5/11/20,3/28/20,5/22/20,3/19/20,5/11/20,5/11/20,5/11/20,4/30/20,0,0,0,0,0,0,0,0,0,6/1/20,4/3/20,0,0,0,6/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/24/20,4/21/20,0,0,3/23/20,0,0,3/22/20,3/16/20,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3/13/20,3/13/20,0,0,0,1,0,3/19/20,4/30/20,0,0,3/16/20,1,1,1,0,0,0,275,875,20,39,2340,2,780,0,Max Benefit < $300,8000,0.65,6.8,$250.77 ,1,0,0,0,3/20/20,0,0,0,0,93.24,4887871,52420,"3,261",5.6,16.8,43.1,"54,352",100.7,0,1,0,0,0,10/29/20,
Alaska,AK,2,3/11/20,3/16/20,0,0,0,3/28/20,0,4/24/20,3/28/20,4/24/20,0,4/24/20,1,1,0,4/24/20,5/22/20,0,1,3/17/20,3/17/20,1,3/18/20,4/24/20,0,3/18/20,5/8/20,3/18/20,5/8/20,3/18/20,5/8/20,4/24/20,5/8/20,4/24/20,0,0,0,0,0,0,3/25/20,0,3/23/20,4/24/20,0,0,3/23/20,4/24/20,7/1/20,0,4/9/20,4/9/20,0,0,4/9/20,0,0,4/9/20,0,0,4/9/20,0,0,0,4/1/20,6/5/20,0,1,4/2/20,0,0,3/17/20,3/20/20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,3/13/20,3/13/20,0,0,1,0,0,3/19/20,4/20/20,0,0,3/18/20,1,1,1,0,1,0,370,970,26,39,2500,2,250,0,13636.36,41500,1,5.4,$443.23 ,1,0,0,0,0,0,0,0,1,1.11,737438,665384,"1,907",6.8,10.9,32.8,"4,453",429.9,0,1,0,0,2,10/24/20,
Arizona,AZ,4,3/11/20,3/16/20,0,0,0,3/31/20,0,5/16/20,3/30/20,5/8/20,1,0,0,0,0,5/8/20,0,3/30/20,1,3/19/20,3/19/20,1,3/20/20,5/11/20,0,3/20/20,5/13/20,3/20/20,5/16/20,3/20/20,5/16/20,5/8/20,0,5/8/20,6/29/20,6/29/20,6/29/20,6/29/20,0,4/9/20,0,5/12/20,0,0,3/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/1/20,4/17/20,0,1,3/23/20,0,0,3/25/20,3/25/20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3/13/20,3/13/20,0,0,1,0,0,3/21/20,5/1/20,0,0,3/20/20,1,1,1,1,1,0,240,840,26,39,7020,2,2340,0,Max Benefit < $300,7000,0.05,12.85,$237.99 ,0,0,0,0,0,3/11/20,0,1,1,62.91,7171646,113990,"10,007",5.4,14,39.1,"59,282",132.9,0,0,0,0,0,10/23/20,
Arkansas,AR,5,3/11/20,3/17/20,0,0,3/13/20,0,0,0,4/4/20,5/4/20,0,7/20/20,1,1,0,5/11/20,0,0,1,3/19/20,3/19/20,1,3/19/20,5/11/20,0,3/20/20,5/4/20,3/20/20,5/18/20,3/19/20,5/19/20,5/6/20,0,5/18/20,0,0,0,0,0,5/5/20,0,6/15/20,0,0,0,0,0,0,0,0,4/10/20,4/10/20,0,0,4/10/20,0,0,4/10/20,0,0,0,0,0,0,3/24/20,5/21/20,0,0,4/2/20,0,0,3/13/20,3/13/20,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,3/16/20,3/16/20,0,0,1,0,0,4/3/20,4/27/20,0,0,3/17/20,1,1,1,0,0,0,451,1051,16,33,2835,2,1,0,31200,7000,0.1,6,$223.84 ,1,0,0,0,0,0,0,0,1,56.67,3013825,53179,"2,717",4.5,17.2,43.5,"32,336",231.6,0,0,0,0,0,10/27/20,
California,CA,6,3/4/20,3/23/20,0,0,0,3/19/20,0,0,3/19/20,5/8/20,0,6/18/20,0,0,1,5/5/20,0,0,1,3/19/20,3/19/20,0,3/19/20,5/18/20,0,3/19/20,0,3/19/20,0,3/16/20,0,8/28/20,5/25/20,5/8/20,0,0,7/13/20,0,7/13/20,0,0,0,0,5/31/20,3/27/20,0,0,0,0,0,3/17/20,3/17/20,0,0,3/17/20,0,0,3/17/20,0,0,3/17/20,0,0,0,3/30/20,4/23/20,0,1,3/23/20,3/20/20,0,3/30/20,3/18/20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3/11/20,4/8/20,0,1,0,0,0,3/19/20,4/22/20,0,0,3/12/20,1,1,1,1,0,0,450,1050,26,39,1125,2,225,0,6900,7000,1.5,6.2,$282.35 ,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,"151,278",5.5,12.8,33.3,"268,818",356.2,0,0,0,1,0,0,
Colorado,CO,8,3/11/20,3/23/20,0,0,3/12/20,3/26/20,0,4/27/20,3/26/20,5/1/20,1,7/16/20,0,0,0,4/23/20,0,0,1,3/20/20,3/20/20,1,3/17/20,5/27/20,0,3/17/20,6/4/20,3/17/20,6/18/20,3/17/20,6/18/20,5/1/20,6/4/20,5/1/20,6/30/20,6/30/20,0,0,0,0,0,0,4/30/20,6/13/20,4/30/20,0,0,0,6/14/20,0,3/20/20,3/20/20,6/13/20,0,3/20/20,6/13/20,0,3/20/20,6/13/20,0,0,0,0,0,4/1/20,5/16/20,4/10/20,1,3/26/20,3/20/20,0,4/1/20,3/20/20,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,3/11/20,0,0,0,1,0,0,3/23/20,4/27/20,0,0,3/20/20,1,2,0,0,0,0,618,1218,26,39,2500,1,0,0,13000,13600,0.58,7.4,$371.47 ,0,0,0,0,0,0,0,0,1,54.72,5695564,104094,"9,619",3.9,9.6,31.3,"38,526",356.4,0,0,1,0,0,0,
